case,seed,rule,weight,feature,abs_weight
true_positive,0,tp_mm_lag1 <= 0.00,-0.15815895062242438,tp_mm_lag1,0.15815895062242438
true_positive,0,msl_hpa_lag1 > 1021.83,-0.02094774922695155,msl_hpa_lag1,0.02094774922695155
true_positive,0,10.58 < t2m_c <= 15.62,0.019954969100696773,t2m_c,0.019954969100696773
true_positive,0,month_cos > 0.87,-0.01929798069186079,month_cos,0.01929798069186079
true_positive,0,0.83 < tcc <= 1.00,0.016153267244577985,tcc,0.016153267244577985
true_positive,0,msl_hpa_lag6 > 1021.83,-0.015255055698750823,msl_hpa_lag6,0.015255055698750823
true_positive,0,msl_hpa > 1021.83,-0.011661321651153302,msl_hpa,0.011661321651153302
true_positive,0,tcc_roll6_mean > 0.97,-0.01024331788122159,tcc_roll6_mean,0.01024331788122159
true_positive,0,0.00 < hour_sin <= 0.71,-0.008430458009603528,hour_sin,0.008430458009603528
true_positive,0,7.43 < d2m_c <= 11.73,0.006706314350430195,d2m_c,0.006706314350430195
true_positive,1,tp_mm_lag1 <= 0.00,-0.15828584951932437,tp_mm_lag1,0.15828584951932437
true_positive,1,0.83 < tcc <= 1.00,0.027110249361504156,tcc,0.027110249361504156
true_positive,1,msl_hpa_lag1 > 1021.83,-0.026711217137004573,msl_hpa_lag1,0.026711217137004573
true_positive,1,msl_hpa > 1021.83,-0.01698929815375734,msl_hpa,0.01698929815375734
true_positive,1,3.64 < wind_speed_10m_lag1 <= 5.02,0.014388607138083728,wind_speed_10m_lag1,0.014388607138083728
true_positive,1,month_cos > 0.87,-0.013432580570916995,month_cos,0.013432580570916995
true_positive,1,10.58 < t2m_c <= 15.62,0.012666296301499652,t2m_c,0.012666296301499652
true_positive,1,tcc_roll6_mean > 0.97,-0.012533094604458147,tcc_roll6_mean,0.012533094604458147
true_positive,1,msl_hpa_lag6 > 1021.83,-0.009955594282975818,msl_hpa_lag6,0.009955594282975818
true_positive,1,3.64 < wind_speed_10m_lag3 <= 5.02,-0.009794709277996944,wind_speed_10m_lag3,0.009794709277996944
true_positive,2,tp_mm_lag1 <= 0.00,-0.15500416378924411,tp_mm_lag1,0.15500416378924411
