case,feature,abs_shap,shap_rank,abs_lime_weight,lime_rank
false_negative,d2m_c,0.0462509,8.0,0.0106556288072875,8.0
false_negative,d2m_c_lag1,0.004973159,23.0,,
false_negative,d2m_c_lag3,0.014300735,19.0,,
false_negative,d2m_c_roll6_mean,0.002739114,29.0,0.0099197085398296,9.0
false_negative,dayofyear,0.022709554,15.0,0.009176702699375,10.0
false_negative,hour,0.088396095,7.0,,
false_negative,hour_cos,0.13632236,4.0,0.0113988596227264,4.0
false_negative,hour_sin,0.0058186054,22.0,,
false_negative,month,0.00036820758,34.0,,
false_negative,month_cos,0.036301736,11.0,0.0111014499102493,6.0
false_negative,month_sin,0.0014934347,31.0,,
false_negative,msl_hpa,0.00056547543,33.0,,
false_negative,msl_hpa_lag1,0.012487818,20.0,,
false_negative,msl_hpa_lag3,0.0030255252,28.0,,
false_negative,msl_hpa_lag6,0.016487343,18.0,,
false_negative,msl_hpa_roll6_mean,0.003318206,27.0,,
false_negative,sp_hpa,0.023605678,14.0,,
false_negative,t2m_c,0.007558408,21.0,0.0117849746570448,3.0
false_negative,tcc,0.23763286,3.0,0.0107759408208674,7.0
false_negative,tcc_lag1,0.12873682,5.0,,
false_negative,tcc_lag3,0.0033881366,26.0,,
false_negative,tcc_roll6_mean,0.03291468,12.0,,
false_negative,tp_mm_lag1,3.0840347,1.0,0.3112051700646039,1.0
false_negative,tp_mm_lag3,0.039351817,9.0,0.0112829336896133,5.0
false_negative,tp_mm_lag6,0.03174882,13.0,,
false_negative,tp_mm_roll24_sum,0.037888102,10.0,,
false_negative,tp_mm_roll6_sum,0.31508252,2.0,0.0480762698902869,2.0
false_negative,u10,0.02118652,16.0,,
false_negative,v10,0.105446115,6.0,,
false_negative,wind_speed_10m,0.02110653,17.0,,
false_negative,wind_speed_10m_lag1,0.0040832567,25.0,,
false_negative,wind_speed_10m_lag3,0.0022752953,30.0,,
false_negative,wind_speed_10m_roll6_max,0.004118464,24.0,,
false_negative,wind_speed_10m_roll6_mean,0.00095439784,32.0,,
false_positive,d2m_c,0.02532022,17.0,,
false_positive,d2m_c_lag1,0.013527509,22.0,,
false_positive,d2m_c_lag3,0.002259731,27.0,,
false_positive,d2m_c_roll6_mean,0.0011059587,31.0,,
false_positive,dayofyear,0.017251493,20.0,,
false_positive,hour,0.015167747,21.0,,
false_positive,hour_cos,0.03693666,13.0,0.0160896044210475,8.0
false_positive,hour_sin,0.043216977,12.0,,
false_positive,month,0.00071964215,32.0,,
false_positive,month_cos,0.06485818,8.0,,
false_positive,month_sin,0.0011131441,30.0,,
false_positive,msl_hpa,0.08584417,5.0,0.0173074747136163,6.0
false_positive,msl_hpa_lag1,0.0471627,11.0,0.0184538585675274,5.0
false_positive,msl_hpa_lag3,0.020246416,18.0,,
false_positive,msl_hpa_lag6,0.07825069,6.0,,
false_positive,msl_hpa_roll6_mean,0.011159942,23.0,,
false_positive,sp_hpa,0.054999802,9.0,0.0184840656524327,4.0
false_positive,t2m_c,0.0018279173,29.0,0.0103567682938787,10.0
false_positive,tcc,0.23083456,3.0,0.0249014690495892,3.0
false_positive,tcc_lag1,0.04941176,10.0,,
false_positive,tcc_lag3,0.019894067,19.0,,
false_positive,tcc_roll6_mean,0.0765202,7.0,0.0172439664495225,7.0
false_positive,tp_mm_lag1,3.4344144,1.0,0.3049584341893355,1.0
false_positive,tp_mm_lag3,0.118062936,4.0,0.0139155568828257,9.0
false_positive,tp_mm_lag6,0.03399592,14.0,,
false_positive,tp_mm_roll24_sum,0.032523986,15.0,,
false_positive,tp_mm_roll6_sum,0.41074997,2.0,0.0421548292872175,2.0
false_positive,u10,0.030256987,16.0,,
false_positive,v10,0.01110126,24.0,,
false_positive,wind_speed_10m,0.0037605965,25.0,,
false_positive,wind_speed_10m_lag1,0.00061653997,33.0,,
false_positive,wind_speed_10m_lag3,0.0026951313,26.0,,
false_positive,wind_speed_10m_roll6_max,0.002250548,28.0,,
false_positive,wind_speed_10m_roll6_mean,0.00037416068,34.0,,
true_negative,d2m_c,0.41940692,4.0,0.042209159436064,2.0
true_negative,d2m_c_lag1,0.10158682,10.0,,
true_negative,d2m_c_lag3,0.08082626,12.0,,
true_negative,d2m_c_roll6_mean,0.061576545,15.0,,
true_negative,dayofyear,0.064198695,14.0,,
true_negative,hour,0.015653927,27.0,0.0131365333976923,10.0
true_negative,hour_cos,0.10821995,9.0,,
