case,seed,feature,weight,abs_weight,rank
true_positive,0,t2m_c,-0.06807303,0.06807303,13.0
true_positive,0,d2m_c,-0.2258903,0.2258903,4.0
true_positive,0,msl_hpa,-0.3315058,0.3315058,3.0
true_positive,0,sp_hpa,-0.15371749,0.15371749,6.0
true_positive,0,tcc,0.015057227,0.015057227,26.0
true_positive,0,u10,-0.021068532,0.021068532,23.0
true_positive,0,v10,-0.0212217,0.0212217,22.0
true_positive,0,wind_speed_10m,-0.003882262,0.003882262,30.0
true_positive,0,month,0.0027118474,0.0027118474,31.0
true_positive,0,dayofyear,0.045315128,0.045315128,17.0
true_positive,0,hour,-0.11370155,0.11370155,7.0
true_positive,0,month_sin,0.0016149253,0.0016149253,33.0
true_positive,0,month_cos,-0.06303772,0.06303772,14.0
true_positive,0,hour_sin,-0.078589775,0.078589775,11.0
true_positive,0,hour_cos,0.030326454,0.030326454,20.0
true_positive,0,msl_hpa_lag1,-0.21698469,0.21698469,5.0
true_positive,0,msl_hpa_lag3,-0.05112066,0.05112066,15.0
true_positive,0,msl_hpa_lag6,-0.035982966,0.035982966,19.0
true_positive,0,d2m_c_lag1,-0.07840231,0.07840231,12.0
true_positive,0,d2m_c_lag3,-0.0047739833,0.0047739833,27.0
true_positive,0,tcc_lag1,0.0027065412,0.0027065412,32.0
true_positive,0,tcc_lag3,-0.018068956,0.018068956,25.0
true_positive,0,wind_speed_10m_lag1,-0.0009854579,0.0009854579,34.0
true_positive,0,wind_speed_10m_lag3,-0.0043131094,0.0043131094,29.0
true_positive,0,tp_mm_lag1,-2.7819166,2.7819166,1.0
true_positive,0,tp_mm_lag3,0.105351426,0.105351426,8.0
true_positive,0,tp_mm_lag6,0.048941404,0.048941404,16.0
true_positive,0,msl_hpa_roll6_mean,-0.07925755,0.07925755,10.0
true_positive,0,d2m_c_roll6_mean,-0.040770907,0.040770907,18.0
true_positive,0,tcc_roll6_mean,-0.08123935,0.08123935,9.0
true_positive,0,wind_speed_10m_roll6_mean,-0.004685831,0.004685831,28.0
true_positive,0,wind_speed_10m_roll6_max,-0.02480803,0.02480803,21.0
true_positive,0,tp_mm_roll6_sum,-0.56314754,0.56314754,2.0
true_positive,0,tp_mm_roll24_sum,-0.020566516,0.020566516,24.0
true_positive,1,t2m_c,-0.051974826,0.051974826,14.0
true_positive,1,d2m_c,-0.23026682,0.23026682,4.0
