feature,mean_abs_shap,mean_shap
tp_mm_lag1,2.4802551,-2.2110662
tp_mm_roll6_sum,0.51240253,-0.41838655
d2m_c,0.27407438,-0.16320983
tcc,0.23550476,-0.1962473
msl_hpa,0.121761486,-0.086043924
t2m_c,0.121358536,-0.06268729
msl_hpa_lag1,0.09486148,-0.07373955
hour_cos,0.090510495,-0.042256683
d2m_c_lag1,0.089088574,-0.052323356
sp_hpa,0.08795279,-0.05851164
tp_mm_roll24_sum,0.07635885,-0.06568127
tcc_roll6_mean,0.0711253,0.0006163129
hour,0.06611647,-0.033052444
month_cos,0.06396167,-0.028981043
dayofyear,0.05531339,-0.008371117
hour_sin,0.053201616,-0.023194699
tp_mm_lag3,0.0520313,0.02055726
tp_mm_lag6,0.044356156,-0.0013906515
d2m_c_lag3,0.04339474,-0.01978382
d2m_c_roll6_mean,0.040843744,-0.024676206
v10,0.031052446,-0.021637961
tcc_lag1,0.028775504,-0.023788085
msl_hpa_lag3,0.028695453,-0.016270302
msl_hpa_lag6,0.023017298,-0.012384701
msl_hpa_roll6_mean,0.02227781,-0.017047811
wind_speed_10m_roll6_max,0.021789204,-0.015674073
u10,0.018211283,-0.01324263
wind_speed_10m,0.016900744,-0.012141013
tcc_lag3,0.01669541,-0.007440545
wind_speed_10m_lag1,0.006103699,-0.0039115916
wind_speed_10m_roll6_mean,0.005471085,-0.003631881
wind_speed_10m_lag3,0.004888493,-0.003606979
month,0.003042851,-0.0010881614
month_sin,0.0017954328,-0.0005341471
