case,feature,feature_value,shap_value,abs_shap
true_positive,t2m_c,14.49585,-0.009582198,0.009582198
true_positive,d2m_c,14.037445,0.05294527,0.05294527
true_positive,msl_hpa,1005.2537,0.04327461,0.04327461
true_positive,sp_hpa,1004.565,0.039308533,0.039308533
true_positive,tcc,1.0,0.14491405,0.14491405
true_positive,u10,-0.0035095215,0.0065519065,0.0065519065
true_positive,v10,4.6902924,-0.009896346,0.009896346
true_positive,wind_speed_10m,4.690294,0.0045020855,0.0045020855
true_positive,month,7.0,-0.002170721,0.002170721
true_positive,dayofyear,208.0,-0.01788999,0.01788999
true_positive,hour,5.0,-0.07645165,0.07645165
true_positive,month_sin,-0.4999999999999997,0.00024988013,0.00024988013
true_positive,month_cos,-0.8660254037844388,0.02147705,0.02147705
true_positive,hour_sin,0.9659258262890684,-0.01723037,0.01723037
true_positive,hour_cos,0.2588190451025207,-0.03809982,0.03809982
true_positive,msl_hpa_lag1,1006.0744,0.02935504,0.02935504
true_positive,msl_hpa_lag3,1008.1106,0.009691695,0.009691695
true_positive,msl_hpa_lag6,1010.165,0.0055307914,0.0055307914
true_positive,d2m_c_lag1,13.799103,0.014495541,0.014495541
true_positive,d2m_c_lag3,13.3159485,0.01814258,0.01814258
true_positive,tcc_lag1,1.0,0.03589194,0.03589194
true_positive,tcc_lag3,1.0,-0.018661778,0.018661778
true_positive,wind_speed_10m_lag1,4.436113,-0.00061643764,0.00061643764
true_positive,wind_speed_10m_lag3,3.70403,0.0010086333,0.0010086333
true_positive,tp_mm_lag1,3.8285255,3.4402833,3.4402833
true_positive,tp_mm_lag3,1.4243126,0.09092678,0.09092678
true_positive,tp_mm_lag6,0.01335144,0.025287947,0.025287947
true_positive,msl_hpa_roll6_mean,1008.3450927734376,0.008549288,0.008549288
true_positive,d2m_c_roll6_mean,12.522364298502604,-0.0015185558,0.0015185558
true_positive,tcc_roll6_mean,1.0,-0.0689256,0.0689256
true_positive,wind_speed_10m_roll6_mean,3.688690106074015,-0.0008079567,0.0008079567
true_positive,wind_speed_10m_roll6_max,4.436112880706787,-0.0087954,0.0087954
true_positive,tp_mm_roll6_sum,8.70656967163086,0.39842963,0.39842963
true_positive,tp_mm_roll24_sum,9.563446044921877,0.026572566,0.026572566
false_positive,t2m_c,10.720123,-0.0018279173,0.0018279173
false_positive,d2m_c,10.410522,-0.02532022,0.02532022
false_positive,msl_hpa,978.4175,0.08584417,0.08584417
false_positive,sp_hpa,977.7355,0.054999802,0.054999802
